strategy,category,description,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_pnl,avg_pnl_pct,avg_win,avg_loss,avg_win_pct,avg_loss_pct,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,annual_return_pct,recovery_factor,avg_trade_duration_days,max_consecutive_wins,max_consecutive_losses,expectancy,positive_years,total_years
rsi_oversold,Mean Reversion,RSI Oversold Bounce,2158,1033,1125,47.868396663577386,195902.72808202537,195.90272808202545,90.7797627812908,0.46777086027859793,1362.5218251946835,-1076.9620598614067,6.873634388561917,-5.414235383913996,1.1616916368600236,0.8680190954207879,1.329902962033789,15.865584589077411,0.7222511696862693,11.458937027217608,12.347652680689357,8.376274328081557,9,15,90.77976278129074,8,10
bollinger_snapback,Mean Reversion,Bollinger Band Snapback,2176,998,1178,45.86397058823529,141414.38359762687,141.41438359762694,64.98822775626228,0.3355933205706615,1219.0879707125935,-912.7635069384905,6.144586376136793,-4.585777706131376,1.1315194627409866,0.6886227803875625,1.1377002413826065,25.09684470599478,0.3671177519236185,9.21349720884097,5.634747525207735,6.725643382352941,10,12,64.98822775626212,8,10
zscore_reversion,Mean Reversion,Z-Score Reversion,2116,1067,1049,50.42533081285444,193275.1077953342,193.27510779533404,91.33984300346609,0.46786967809854746,1146.2264640203998,-981.6477877163322,5.780592114375543,-4.936014820955366,1.1876915599228963,0.8710400980901343,1.1972097043435783,35.159300214092106,0.32308844381898194,11.359563591935418,5.49712612647131,6.094045368620038,9,14,91.339843003466,9,10
gap_fade,Mean Reversion,Gap Fade,8,4,4,50.0,-94.42516064539711,-0.09442516064539497,-11.803145080674625,-0.047379856750208504,411.0557495496819,-434.6620397110312,2.0717194550625315,-2.1664791685629483,0.9456904721262454,-0.015209657871920973,-0.001133833545360383,1.6203995314224235,-0.005829754040510458,-0.009446530715551127,-0.058272764719023595,1.875,3,3,-11.803145080674653,2,10
williams_r_reversal,Mean Reversion,Williams %R Extreme Reversal,5121,2326,2795,45.42081624682679,217746.24335018455,217.74624335018453,42.52025841636099,0.2258251563907426,1291.3916111507417,-996.790928152573,6.5226008955781385,-5.014353866632471,1.078156442322181,0.6690989725634138,1.1203136440016466,35.59929903741498,0.3442654013675787,12.255606971520127,6.1165879452101715,7.049013864479594,9,13,42.520258416360775,10,10
cci_reversal,Mean Reversion,CCI Extreme Reversal,4703,2377,2326,50.542207101849876,56028.221205015645,56.02822120501576,11.913293898578713,0.06906167745776759,910.893983492203,-906.7784942200993,4.597473001331302,-4.558639834514456,1.0265641493130013,0.32572277588064175,0.5660824518433277,31.121524831449825,0.14617227632703214,4.549104127381276,1.8003045001315776,5.052519668296831,15,13,11.913293898578559,5,10
ema_crossover,Momentum,EMA 20/50 Crossover,312,108,204,34.61538461538461,16862.350482672544,16.86235048267255,54.04599513677096,0.2772379544993436,2229.001152236393,-1097.4008527394997,11.236027376628462,-5.524474092510191,1.0753221401196011,0.21243386887793478,0.2761098417965986,18.732918884930505,0.08383476830237238,1.570469914345285,0.9001453850439338,13.429487179487179,4,9,54.0459951367709,4,10
adx_trend,Trend,ADX Trend Strength,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
supertrend,Trend,Supertrend,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
donchian_breakout,Breakout,Donchian Channel Breakout,2538,962,1576,37.903861308116625,358572.38919656066,358.57238919656044,141.28147722480713,0.7213185654602589,2322.1890747630882,-1189.9578050288897,11.734110367790551,-6.000956633677903,1.19120052035386,1.1275238979720938,2.1483323997597625,18.981132247249697,0.8666684184710988,16.45034786551467,18.89099051235557,14.87431048069346,9,15,141.2814772248072,10,10
52week_high,Breakout,52-Week High Breakout,30,5,25,16.666666666666664,-18191.663224394022,-18.191663224394027,-606.3887741464674,-3.048500000000003,2337.3946433013843,-1195.1454576360377,11.944000000000006,-6.047000000000005,0.3911481449169679,-0.6691926057289801,-0.26123281867786663,18.191663224394024,-0.10927456239227831,-1.9878860380333596,-1.0000000000000002,8.633333333333333,2,12,-606.3887741464675,2,10
consolidation_breakout,Breakout,Consolidation Breakout,5453,2005,3448,36.76875114615808,561324.778100491,561.3247781004907,102.93870861919854,0.5267899049899977,2052.72887557065,-1030.8574876504244,10.367719808441777,-5.195676584691214,1.157924069404545,1.1023744117445826,1.7813046510479282,21.313456554078357,0.9755770888184719,20.792919897686744,26.336637451379534,11.022189620392444,7,16,102.93870861919845,10,10
volume_breakout,Breakout,Volume Breakout,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0
atr_expansion,Volatility,ATR Expansion,7,3,4,42.857142857142854,764.5062602574909,0.7645062602574804,109.21518003678442,0.5820474607381649,1582.2515168289374,-995.5620725573303,8.007026360459223,-4.98668671405263,1.1919785519484687,0.06701756985003307,0.012655965992629699,3.5128599935896037,0.021688561797564405,0.07618888105715982,0.2176307230155997,3.0,1,2,109.21518003678443,2,10
bollinger_squeeze,Volatility,Bollinger Band Squeeze,2017,709,1308,35.15121467526029,125056.70640820632,125.05670640820638,62.00134179881325,0.3141322779401737,1720.667343782837,-837.0767892460436,8.67548866301532,-4.218132001125789,1.1142178399722236,0.5476362557053465,0.9164009474069217,28.224234281187133,0.2993849152253231,8.449909987572868,4.430827251585101,9.021318790282598,8,17,62.001341798813314,7,10
opening_range,Breakout,Opening Range Breakout,20832,8845,11987,42.458717357910906,416329.10151833325,416.32910151833363,19.98507591773881,0.11287281109036175,678.7500995699093,-466.1062425275309,3.4394207994447035,-2.341729421077333,1.0745145948539467,1.0087084650663705,1.6930506992102459,29.863548777844706,0.5973831240269597,17.839980063440365,13.941045808567855,2.649385560675883,11,19,19.98507591773881,9,10
pivot_breakout,Breakout,Pivot Point Breakout,19617,8711,10906,44.40536269562114,616574.3883454299,616.5743883454292,31.430615708081366,0.1694474591043859,599.4971081377902,-422.3037704605592,3.035814516071946,-2.120019204497706,1.1338736265971998,1.4478172839192014,2.2959825821700712,19.032892570464867,1.1436004648445255,21.766024790919538,32.395201415796656,2.23194168323393,13,17,31.43061570808132,10,10
