strategy,category,trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,max_drawdown,annual_return,total_return,calmar_ratio,composite_score,rank
pivot_breakout,Breakout,19617,44.40536269562114,1.1338736265971998,1.4478172839192014,2.2959825821700712,19.032892570464867,21.766024790919538,616.5743883454292,1.1436004648445255,59.33741091508279,1
vwap_reversion,Volume,5157,42.990110529377546,1.1721850581713273,1.163524509339738,1.9669704456751154,19.43335449433726,15.531805093003094,323.6581730146881,0.799234383211038,54.98909221576479,2
donchian_breakout,Breakout,2538,37.903861308116625,1.19120052035386,1.1275238979720938,2.1483323997597625,18.981132247249697,16.45034786551467,358.57238919656044,0.8666684184710988,53.72596205997866,3
rsi_oversold,Mean Reversion,2158,47.868396663577386,1.1616916368600236,0.8680190954207879,1.329902962033789,15.865584589077411,11.458937027217608,195.90272808202545,0.7222511696862693,52.51505402780426,4
consolidation_breakout,Breakout,5453,36.76875114615808,1.157924069404545,1.1023744117445826,1.7813046510479282,21.313456554078357,20.792919897686744,561.3247781004907,0.9755770888184719,52.14469668421472,5
opening_range,Breakout,20832,42.458717357910906,1.0745145948539467,1.0087084650663705,1.6930506992102459,29.863548777844706,17.839980063440365,416.32910151833363,0.5973831240269597,48.61759410467388,6
inside_bar,Structure,3730,39.70509383378016,1.1315862272319532,0.8224945671506689,1.3802674926675245,23.414877986114618,11.618885439137472,200.1765873729829,0.496218064686378,47.68385910511462,7
zscore_reversion,Mean Reversion,2116,50.42533081285444,1.1876915599228963,0.8710400980901343,1.1972097043435783,35.159300214092106,11.359563591935418,193.27510779533404,0.32308844381898194,47.500307235719404,8
bollinger_snapback,Mean Reversion,2176,45.86397058823529,1.1315194627409866,0.6886227803875625,1.1377002413826065,25.09684470599478,9.21349720884097,141.41438359762694,0.3671177519236185,46.40241126783695,9
fibonacci_retracement,Structure,3135,30.39872408293461,1.177995300368409,0.8152235645206943,1.644260325979073,29.23287351057018,15.548743107828855,324.2797044202808,0.5318923951217679,44.35486373429636,10
williams_r_reversal,Mean Reversion,5121,45.42081624682679,1.078156442322181,0.6690989725634138,1.1203136440016466,35.59929903741498,12.255606971520127,217.74624335018453,0.3442654013675787,42.42549514594358,11
support_bounce,Structure,2606,30.7367613200307,1.2435109264224042,0.8352218163783799,1.60115792174688,42.00079248822416,19.069138251597483,472.7856180718761,0.45401853445846135,41.438032816734626,12
bollinger_squeeze,Volatility,2017,35.15121467526029,1.1142178399722236,0.5476362557053465,0.9164009474069217,28.224234281187133,8.449909987572868,125.05670640820638,0.2993849152253231,41.06266515271131,13
cci_reversal,Mean Reversion,4703,50.542207101849876,1.0265641493130013,0.32572277588064175,0.5660824518433277,31.121524831449825,4.549104127381276,56.02822120501576,0.14617227632703214,39.21252685341966,14
ema_crossover,Momentum,312,34.61538461538461,1.0753221401196011,0.21243386887793478,0.2761098417965986,18.732918884930505,1.570469914345285,16.86235048267255,0.08383476830237238,34.69072712509681,15
atr_expansion,Volatility,7,42.857142857142854,1.1919785519484687,0.06701756985003307,0.012655965992629699,3.5128599935896037,0.07618888105715982,0.7645062602574804,0.021688561797564405,33.59598872067276,16
gap_fade,Mean Reversion,8,50.0,0.9456904721262454,-0.015209657871920973,-0.001133833545360383,1.6203995314224235,-0.009446530715551127,-0.09442516064539497,-0.005829754040510458,32.55463407495865,17
cmf_cross,Volume,4924,43.440292445166534,1.0226833305286365,0.2817620153208435,0.4764735019120513,76.73892323694307,3.852248565817473,45.93485850583994,0.05019940863547266,31.4368498065846,18
mfi_reversal,Volume,64,35.9375,0.9571000771386637,-0.028171350490691336,-0.014429108637756215,8.02895954371736,-0.1589841928774427,-1.5785158285162582,-0.019801344372428357,29.034646113040324,19
52week_high,Breakout,30,16.666666666666664,0.3911481449169679,-0.6691926057289801,-0.26123281867786663,18.191663224394024,-1.9878860380333596,-18.191663224394027,-0.10927456239227831,16.735402240323193,20
adx_trend,Trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21
supertrend,Trend,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22
volume_breakout,Breakout,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23
volume_spike,Volume,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24
